A & N ISLANDS	12
ANDHRA PRADESH	12430
ARUNACHAL PRADESH	4
ASSAM	2552
BIHAR	27096
CHANDIGARH	84
CHHATTISGARH	2284
D & N HAVELI	2
DAMAN & DIU	6
DELHI	3164
GOA	38
GUJARAT	1004
HARYANA	6260
HIMACHAL PRADESH	110
JAMMU & KASHMIR	270
JHARKHAND	6582
KARNATAKA	5836
KERALA	602
LAKSHADWEEP	0
MADHYA PRADESH	18072
MAHARASHTRA	8498
MANIPUR	4
MEGHALAYA	30
MIZORAM	8
NAGALAND	0
ODISHA	9110
PUDUCHERRY	52
PUNJAB	3092
RAJASTHAN	10132
SIKKIM	4
TAMIL NADU	4634
TRIPURA	628
UTTAR PRADESH	47648
UTTARAKHAND	1812
WEST BENGAL	10344
