Andaman & Nicobar Islands	13
Andhra Pradesh	1006
Arunachal Pradesh	101
Assam	520
Bihar	1150
Chandigarh	44
Chhattisgarh	351
Dadra & Nagar Haveli	4
Daman & Diu	2
Delhi	219
Goa	37
Gujarat	930
Haryana	412
Himachal Pradesh	145
Jammu & Kashmir	81
Jharkhand	269
Karnataka	293
Kerala	522
Lakshadweep	0
Madhya Pradesh	1746
Maharashtra	1393
Manipur	12
Meghalaya	81
Mizoram	59
Nagaland	16
Odisha	586
Puducherry	5
Punjab	803
Rajasthan	1234
Sikkim	34
Tamil Nadu	689
Tripura	86
Uttar Pradesh	1408
Uttarakhand	100
West Bengal	360
