A & N ISLANDS	9715
ANDHRA PRADESH	2237055
ARUNACHAL PRADESH	30434
ASSAM	685784
BIHAR	1514108
CHANDIGARH	44884
CHHATTISGARH	617962
D & N HAVELI	4965
DAMAN & DIU	3194
DELHI UT	1346532
GOA	36395
GUJARAT	1543453
HARYANA	667401
HIMACHAL PRADESH	168719
JAMMU & KASHMIR	284545
JHARKHAND	470633
KARNATAKA	1618161
KERALA	1614351
LAKSHADWEEP	785
MADHYA PRADESH	2641236
MAHARASHTRA	2508827
MANIPUR	38250
MEGHALAYA	28508
MIZORAM	27855
NAGALAND	14350
ODISHA	719776
PUDUCHERRY	57890
PUNJAB	420798
RAJASTHAN	2056878
SIKKIM	7852
TAMIL NADU	2264069
TELANGANA	25
TRIPURA	58945
UTTAR PRADESH	2084571
UTTARAKHAND	112750
WEST BENGAL	1289772
