A & N ISLANDS	174
ANDHRA PRADESH	35415
ARUNACHAL PRADESH	996
ASSAM	18237
BIHAR	48089
CHANDIGARH	289
CHHATTISGARH	14003
D & N HAVELI	115
DAMAN & DIU	84
DELHI UT	12925
GOA	557
GUJARAT	16017
HARYANA	12559
HIMACHAL PRADESH	1688
JAMMU & KASHMIR	6610
JHARKHAND	22348
KARNATAKA	23174
KERALA	5472
LAKSHADWEEP	3
MADHYA PRADESH	32785
MAHARASHTRA	37949
MANIPUR	2144
MEGHALAYA	2055
MIZORAM	472
NAGALAND	1174
ODISHA	17357
PUDUCHERRY	413
PUNJAB	10971
RAJASTHAN	19054
SIKKIM	193
TAMIL NADU	23868
TELANGANA	1308
TRIPURA	2304
UTTAR PRADESH	75640
UTTARAKHAND	3363
WEST BENGAL	25690
