A & N ISLANDS	306
ANDHRA PRADESH	31190
ARUNACHAL PRADESH	1237
ASSAM	38224
BIHAR	30094
CHANDIGARH	715
CHHATTISGARH	27872
D & N HAVELI	127
DAMAN & DIU	61
DELHI UT	32052
GOA	967
GUJARAT	10806
HARYANA	15945
HIMACHAL PRADESH	4391
JAMMU & KASHMIR	6709
JHARKHAND	21781
KARNATAKA	13817
KERALA	20116
LAKSHADWEEP	19
MADHYA PRADESH	85992
MAHARASHTRA	45547
MANIPUR	993
MEGHALAYA	2524
MIZORAM	1951
NAGALAND	532
ODISHA	28503
PUDUCHERRY	199
PUNJAB	13721
RAJASTHAN	42110
SIKKIM	524
TAMIL NADU	16205
TELANGANA	980
TRIPURA	4821
UTTAR PRADESH	48378
UTTARAKHAND	3496
WEST BENGAL	48879
